Rank	Name	Country/Region	Score	
1	University of Oxford	United Kingdom	93.8	
2	University of Cambridge	United Kingdom	89.8	
2	Harvard University	United States	89.8	
4	Imperial College London	United Kingdom	87.6	
4	Stanford University	United States	87.6	
6	Johns Hopkins University	United States	86.6	
7	University of California, Berkeley	United States	85.9	
8	Columbia University	United States	84.4	
9	University of Melbourne	Australia	84.3	
10	University of Pennsylvania	United States	84	
11	Duke University	United States	83.8	
12	University College London	United Kingdom	83.7	
13	Washington University in St Louis	United States	83.6	
13	Yale University	United States	83.6	
15	Karolinska Institute	Sweden	83.5	
16	University of California, Los Angeles	United States	83.3	
17	University of Edinburgh	United Kingdom	82.9	
17	King’s College London	United Kingdom	82.9	
19	University of Toronto	Canada	82.6	
20	University of Washington	United States	82.3	
21	University of California, San Diego	United States	82.2	
22	University of Chicago	United States	81.4	
23	McMaster University	Canada	81	
24	University of Michigan	United States	79.4	
25	Tsinghua University	China	77.8	
26	University of North Carolina at Chapel Hill	United States	77.7	
27	McGill University	Canada	77	
28	National University of Singapore	Singapore	76.6	
29	Northwestern University	United States	76.3	
30	Heidelberg University	Germany	75.4	
31	University of Hong Kong	Hong Kong, China	74.5	
32	University of Tokyo	Japan	74.2	
33	Boston University	United States	74.1	
34	University of British Columbia	Canada	73.7	
35	LMU Munich	Germany	73	
36	Emory University	United States	71.9	
37	University of Sydney	Australia	71.2	
38	Brown University	United States	70.8	
39	New York University	United States	70.6	
40	Erasmus University Rotterdam	Netherlands	70.2	
40	Kyoto University	Japan	70.2	
42	University of Pittsburgh	United States	69.9	
43	KU Leuven	Belgium	68.7	
44	Vanderbilt University	United States	68.3	
45	University of Manchester	United Kingdom	66.5	
46	Monash University	Australia	66.2	
46	Technical University of Munich	Germany	66.2	
48	University of Amsterdam	Netherlands	66.1	
49	University of Minnesota	United States	65.9	
50	Peking University	China	65.8	
51	Leiden University	Netherlands	65.4	
52	University of Queensland	Australia	65.3	
53	University of Glasgow	United Kingdom	65.1	
54	Seoul National University	South Korea	65	
55	Charité - Universitätsmedizin Berlin	Germany	64.9	
56	Utrecht University	Netherlands	64.3	
57	Sungkyunkwan University (SKKU)	South Korea	63.7	
58	University of Southern California	United States	63.2	
59	University of Montreal	Canada	62.9	
60	University of Wisconsin-Madison	United States	62.8	
61	University of Copenhagen	Denmark	62.4	
62	Fudan University	China	62.2	
63	Chinese University of Hong Kong	Hong Kong, China	62	
64	Uppsala University	Sweden	61.5	
65	Ohio State University	United States	61.1	
66	Dartmouth College	United States	60.6	
67	University of Bristol	United Kingdom	60.4	
68	Tufts University	United States	59.9	
69	Maastricht University	Netherlands	59.8	
70	University of Cape Town	South Africa	59.7	
71	University of California, Davis	United States	59.5	
72	University of Liverpool	United Kingdom	59.3	
73	Australian National University	Australia	59	
74	Queen Mary University of London	United Kingdom	58.6	
75	University of Texas at Austin	United States	58.4	
76	University of Basel	Switzerland	58.1	
77	University of Alberta	Canada	57.7	
78	Autonomous University of Barcelona	Spain	57.6	
78	University of Tübingen	Germany	57.6	
80	University of Leicester	United Kingdom	57.4	
81	National Taiwan University	Taiwan, China	57.2	
82	University of Auckland	New Zealand	57	
82	University of New South Wales	Australia	57	
84	Wageningen University & Research	Netherlands	56.7	
85	University of Bern	Switzerland	56.6	
86	University of Dundee	United Kingdom	56.2	
86	University of Florida	United States	56.2	
86	University of Zurich	Switzerland	56.2	
89	University of Groningen	Netherlands	55.5	
89	Lund University	Sweden	55.5	
91	University of Nottingham	United Kingdom	54.6	
92	Osaka University	Japan	54.5	
93	University of Freiburg	Germany	54.4	
94	University of Southampton	United Kingdom	54.3	
95	University of Calgary	Canada	54.2	
95	Cardiff University	United Kingdom	54.2	
95	Ghent University	Belgium	54.2	
95	Paris-Sud University	France	54.2	
95	University of Sheffield	United Kingdom	54.2	
100	University of Kiel	Germany	54.1	
101–125	Aarhus University	Denmark	51.4–54.0	
101–125	University of Alabama at Birmingham	United States	51.4–54.0	
101–125	Auckland University of Technology	New Zealand	51.4–54.0	
101–125	University of Birmingham	United Kingdom	51.4–54.0	
101–125	Case Western Reserve University	United States	51.4–54.0	
101–125	University of Cincinnati	United States	51.4–54.0	
101–125	University of Cologne	Germany	51.4–54.0	
101–125	University of Geneva	Switzerland	51.4–54.0	
101–125	University of Gothenburg	Sweden	51.4–54.0	
101–125	University of Helsinki	Finland	51.4–54.0	
101–125	University of Illinois at Urbana-Champaign	United States	51.4–54.0	
101–125	University of Iowa	United States	51.4–54.0	
101–125	Medical University of Vienna	Austria	51.4–54.0	
101–125	University of Miami	United States	51.4–54.0	
101–125	Newcastle University	United Kingdom	51.4–54.0	
101–125	Oregon Health and Science University	United States	51.4–54.0	
101–125	University of Otago	New Zealand	51.4–54.0	
101–125	Pompeu Fabra University	Spain	51.4–54.0	
101–125	Radboud University Nijmegen	Netherlands	51.4–54.0	
101–125	St George’s, University of London	United Kingdom	51.4–54.0	
101–125	Trinity College Dublin	Ireland	51.4–54.0	
101–125	University of Virginia	United States	51.4–54.0	
101–125	University of Western Australia	Australia	51.4–54.0	
101–125	Western University	Canada	51.4–54.0	
101–125	University of the Witwatersrand	South Africa	51.4–54.0	
101–125	University of York	United Kingdom	51.4–54.0	
126–150	University of Aberdeen	United Kingdom	48.8–51.3	
126–150	University of Adelaide	Australia	48.8–51.3	
126–150	University of Barcelona	Spain	48.8–51.3	
126–150	University of Bologna	Italy	48.8–51.3	
126–150	University of Bonn	Germany	48.8–51.3	
126–150	University of California, Irvine	United States	48.8–51.3	
126–150	Technical University of Denmark	Denmark	48.8–51.3	
126–150	Georgetown University	United States	48.8–51.3	
126–150	University of Hamburg	Germany	48.8–51.3	
126–150	King Abdulaziz University	Saudi Arabia	48.8–51.3	
126–150	University of Leeds	United Kingdom	48.8–51.3	
126–150	Université Catholique de Louvain	Belgium	48.8–51.3	
126–150	Michigan State University	United States	48.8–51.3	
126–150	Nanyang Technological University, Singapore	Singapore	48.8–51.3	
126–150	University of Oslo	Norway	48.8–51.3	
126–150	Pierre and Marie Curie University	France	48.8–51.3	
126–150	University of Rochester	United States	48.8–51.3	
126–150	University of São Paulo	Brazil	48.8–51.3	
126–150	Shanghai Jiao Tong University	China	48.8–51.3	
126–150	TU Dresden	Germany	48.8–51.3	
126–150	Ulm University	Germany	48.8–51.3	
126–150	University of Utah	United States	48.8–51.3	
126–150	University of Würzburg	Germany	48.8–51.3	
126–150	Zhejiang University	China	48.8–51.3	
151–175	Anglia Ruskin University	United Kingdom	46.4–48.7	
151–175	University of Bergen	Norway	46.4–48.7	
151–175	University of Bordeaux	France	46.4–48.7	
151–175	University of Canterbury	New Zealand	46.4–48.7	
151–175	Charles Darwin University	Australia	46.4–48.7	
